96, EUR/USD, 1.1000, 1.2000, 01-06-2020 11:59:01:001
97, EUR/JPY, 119.60, 119.90, 01-06-2020 11:59:02:002
98, GBP/USD, 1.2500, 1.2560, 01-06-2020 11:59:02:002
99, GBP/USD, 1.2499, 1.2561, 01-06-2020 11:59:02:100
100, EUR/JPY, 119.61, 119.91, 01-06-2020 11:59:02:110
101, EUR/USD, 1.1000, 1.2000, 01-06-2020 12:00:01:001
102, EUR/JPY, 119.60, 119.90, 01-06-2020 12:00:02:002
103, GBP/USD, 1.2500, 1.2560, 01-06-2020 12:00:02:002
104, GBP/USD, 1.2499, 1.2561, 01-06-2020 12:00:02:100
105, EUR/JPY, 119.61, 119.91, 01-06-2020 12:00:02:110
106, EUR/USD, 1.1000, 1.2000, 01-06-2020 12:01:01:001
107, EUR/JPY, 119.60, 119.90, 01-06-2020 12:01:02:002
108, GBP/USD, 1.2500, 1.2560, 01-06-2020 12:01:02:002
109, GBP/USD, 1.2499, 1.2561, 01-06-2020 12:01:02:100
110, EUR/JPY, 119.61, 119.91, 01-06-2020 12:01:02:110
